Time,Angle
2.141094,109.3465
2.145123,109.4673
2.148441,109.5669
2.152224,109.6804
2.155426,109.7765
2.159388,109.8953
2.162445,109.987
2.166155,110.0983
2.169432,110.1966
2.173744,110.326
2.176886,110.4203
2.180857,110.5393
2.18432,110.6433
2.188406,110.7658
2.191486,110.8582
2.195292,110.9724
2.198442,111.067
2.202496,111.1886
2.205524,111.2794
2.2092,111.3897
2.21261,111.492
2.216949,111.6222
2.219788,111.7073
2.223515,111.8191
2.226572,111.9109
2.230543,112.03
2.233589,112.1214
2.237379,112.235
2.240726,112.3355
2.245108,112.4669
2.248266,112.5617
2.252419,112.6862
2.255751,112.7862
2.259476,112.898
2.262445,112.987
2.266125,113.0974
2.269409,113.196
2.273966,113.3327
2.277081,113.4261
2.280842,113.5389
2.284325,113.6434
2.288328,113.7635
2.291599,113.8616
2.295271,113.9718
2.298632,114.0727
2.302687,114.1943
2.305647,114.2831
2.309118,114.3873
2.312643,114.493
2.31702,114.6243
2.32011,114.717
2.32349,114.8184
2.332417,115.0862
2.33894,115.2819
2.342199,115.3797
2.34598,115.4931
2.349489,115.5984
2.353199,115.7097
2.356247,115.8011
2.360023,115.9144
2.363461,116.0175
2.366993,116.1235
2.370165,116.2187
2.374308,116.3429
2.3776,116.4417
2.381321,116.5534
2.384504,116.6489
2.388279,116.7621
2.391617,116.8623
2.395334,116.9737
2.398439,117.0669
2.402403,117.1858
2.40579,117.2874
2.409397,117.3957
2.4128,117.4977
2.41699,117.6234
2.420277,117.722
2.423916,117.8312
2.426786,117.9173
2.430559,118.0305
2.434202,118.1398
2.438524,118.2695
2.441597,118.3616
2.445576,118.481
2.449177,118.589
2.454044,118.7351
2.457432,118.8367
2.461458,118.9575
2.464756,119.0564
2.468805,119.1779
2.471933,119.2717
2.475708,119.385
2.479073,119.4859
2.483341,119.614
2.486319,119.7033
2.489927,119.8116
2.493402,119.9158
